engine,max_batch,max_wait_ms,concurrency,duration_s,throughput_inf_s,p50_ms,p95_ms,p99_ms,ok,errors
dummy,1,1,64,10,49.4689,1292.37,1293.15,1293.5,558,0
dummy,2,1,64,10,98.7615,647.198,648.045,648.473,1050,0
dummy,4,1,64,10,196.375,325.063,326.556,327.563,2026,0
dummy,8,1,64,10,389.384,163.723,166.553,168.461,3954,0
dummy,16,1,64,10,771.545,82.565,85.626,87.901,7775,0
dummy,32,1,64,10,1269.83,46.653,66.551,78.881,12764,0
dummy,1,5,64,10,49.384,1293.7,1294.95,1295.24,557,0
dummy,2,5,64,10,98.5179,647.956,651.137,653.293,1050,0
dummy,4,5,64,10,195.89,325.057,328.69,341.056,2020,0
dummy,8,5,64,10,388.711,163.942,166.188,167.707,3949,0
dummy,16,5,64,10,769.789,82.654,87.364,95.249,7750,0
dummy,32,5,64,10,1207.25,48.965,74.956,95.004,12148,0
dummy,1,10,64,10,49.2747,1295.09,1299.35,1299.9,556,0
dummy,2,10,64,10,98.744,647.276,647.822,647.996,1050,0
dummy,4,10,64,10,196.519,325.118,326.796,327.381,2028,0
dummy,8,10,64,10,389.976,163.637,165.826,167.248,3960,0
dummy,16,10,64,10,768.263,82.753,86.71,89.942,7740,0
dummy,32,10,64,10,1345.37,46.333,58.787,77.079,13514,0
