engine,max_batch,max_wait_ms,concurrency,duration_s,throughput_inf_s,p50_ms,p95_ms,p99_ms,ok,errors
onnx,1,1,64,20,13.9906,4309.6,5184.11,5247.42,339,0
onnx,2,1,64,20,16.304,3865.12,4181.85,4222.77,390,0
onnx,4,1,64,20,17.1906,3535.87,4150.52,4213.46,402,0
onnx,8,1,64,20,16.1599,3927.91,4163.69,4258.61,379,0
onnx,16,1,64,20,16.829,3787.38,4261.27,4269.73,386,0
onnx,32,1,64,20,17.5924,3565.91,3888.51,3904.75,386,0
onnx,1,5,64,20,16.9436,3657.97,4352.42,4395.25,399,0
onnx,2,5,64,20,17.621,3535.79,4003.62,4117.69,412,0
onnx,4,5,64,20,17.6831,3487.14,3787.47,3918.31,413,0
onnx,8,5,64,20,15.8028,3861.68,4845.95,5064.44,372,0
onnx,16,5,64,20,16.2025,3970.25,4123.58,4184.07,371,0
onnx,32,5,64,20,16.1557,3904.29,4437.93,4458.68,388,0
onnx,1,10,64,20,16.1202,3902.34,4069.12,4136.47,385,0
onnx,2,10,64,20,15.6569,3839.92,4524.49,4584.65,382,0
onnx,4,10,64,20,15.4525,4070.28,4445.65,4525.25,372,0
onnx,8,10,64,20,16.3736,3808.99,4141.48,4198.81,383,0
onnx,16,10,64,20,16.7549,3696.52,4105.62,4136.42,397,0
onnx,32,10,64,20,16.3489,3816.75,4247.31,5692.74,372,0
